Id,Code,Name,Version
657,tt0401855,Underworld: Evolution,1
658,tt0057654,Vidas secas,1
659,tt0086541,Videodrome,1
660,tt0069704,American Graffiti,1
661,tt0067023,Duel,1
662,tt0075860,Close Encounters of the Third Kind,1
663,tt0087182,Dune,1
664,tt0364961,The Assassination of Richard Nixon,1
665,tt0118694,花樣年華,1
666,tt0212712,2046,1
667,tt0044079,Strangers on a Train,1
668,tt0120902,The X Files,1
669,tt0096446,Willow,1
670,tt0082288,Dragonslayer,1
671,tt0085811,Krull,1
672,tt0085334,A Christmas Story,1
673,tt0037558,Brief Encounter,1
674,tt0215750,Enemy at the Gates,1
675,tt0110475,The Mask,1
676,tt0265086,Black Hawk Down,1
677,tt0096438,Who Framed Roger Rabbit,1
678,tt0120815,Saving Private Ryan,1
679,tt0108160,Sleepless in Seattle,1
680,tt0094947,Dangerous Liaisons,1
681,tt0086567,WarGames,1
682,tt0100802,Total Recall,1
683,tt0114709,Toy Story,1
684,tt0120363,Toy Story 2,1
685,tt0106611,Cool Runnings,1
686,tt0093894,The Running Man,1
687,tt0308644,Finding Neverland,1
688,tt0108162,Sliver,1
689,tt0468565,Tsotsi,1
690,tt0133152,Planet of the Apes,1
691,tt0330229,ドールズ,1
692,tt0063442,Planet of the Apes,1
693,tt0045152,Singin' in the Rain,1
694,tt0088939,The Color Purple,1
695,tt0060665,A Man for All Seasons,1
696,tt0023458,Shanghai Express,1
697,tt0142032,Frank Herbert's Dune,1
698,tt0023427,Scarface,1
699,tt0036818,Die Feuerzangenbowle,1
700,tt0102057,Hook,1
701,tt0112379,Antonia,1
702,tt0104257,A Few Good Men,1
703,tt0379217,Coffee and Cigarettes,1
704,tt0115964,Crash,1
705,tt0018839,The Docks of New York,1
706,tt0059037,The Cincinnati Kid,1
707,tt0036868,The Best Years of Our Lives,1
708,tt0109813,The Flintstones,1
709,tt0158622,The Flintstones in Viva Rock Vegas,1
710,tt0114354,Schlafes Bruder,1
711,tt0074119,All the President's Men,1
712,tt0101700,Delicatessen,1
713,tt0060107,Андрей Рублёв,1
714,tt0052572,অপুর সংসার,1
715,tt0048956,অপরাজিত,1
716,tt0055798,Birdman of Alcatraz,1
717,tt0009968,Broken Blossoms,1
718,tt0029947,Bringing Up Baby,1
